#SRC:M87,DATE(MJD):57848,FREQ:229.0707GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
00.76805556,AA,LM,1081709696.0000,-3833722368.0000,0.01429205,-118.9454,0.00584681
00.76805556,AA,PV,-4399932928.0000,-4509480448.0000,0.13673432,5.8638,0.00496755
00.76805556,AA,AP,834908.8125,-1722271.0000,1.11977953,58.1095,0.00524299
00.76805556,AP,LM,1080840064.0000,-3832004096.0000,0.01844797,-137.6802,0.04457572
00.76805556,AP,PV,-4400756736.0000,-4507746816.0000,0.13961885,-57.1724,0.03259064
00.76805556,LM,PV,-5481641472.0000,-675769152.0000,0.03035628,-102.8937,0.03410437
00.77083334,AA,AP,834743.8750,-1722149.8750,1.11999688,58.1319,0.00627244
00.77083334,AA,LM,1083169792.0000,-3833557760.0000,0.02743014,-109.7620,0.00566549
00.77083334,AA,PV,-4400603136.0000,-4510170112.0000,0.11890677,8.7806,0.00473086
00.77083334,AP,LM,1082318592.0000,-3831837440.0000,0.01990057,-38.4534,0.04421281
00.77083334,AP,PV,-4401436672.0000,-4508446720.0000,0.12649689,-72.3387,0.03758290
00.77083334,LM,PV,-5483726336.0000,-676593408.0000,0.02278178,114.9289,0.03478152
00.77361113,AA,AP,834521.0625,-1721986.7500,1.11977626,58.1847,0.00736117
00.77361113,AA,LM,1084686464.0000,-3833386240.0000,0.02169390,-107.3230,0.00513289
00.77361113,AA,PV,-4401269760.0000,-4510858752.0000,0.10341619,5.9468,0.00419518
00.77361113,AP,PV,-4402116096.0000,-4509149184.0000,0.11376078,-73.9962,0.04118651
00.77361113,AP,LM,1083853312.0000,-3831664128.0000,0.04923287,-149.8806,0.04532896
00.77361113,LM,PV,-5485903360.0000,-677455616.0000,0.03944965,93.6045,0.03726741
00.77638891,AA,PV,-4401925632.0000,-4511539200.0000,0.12699105,7.7519,0.00494607
00.77638891,AA,AP,834373.9375,-1721879.2500,1.11963262,58.2434,0.00552016
00.77638891,AA,LM,1086172672.0000,-3833218048.0000,0.02276496,-115.4717,0.00545135
00.77638891,AP,PV,-4402766848.0000,-4509824512.0000,0.13611206,-42.0697,0.03511645
00.77638891,AP,LM,1085325824.0000,-3831497472.0000,0.05489519,-125.4566,0.03944701
00.77638891,LM,PV,-5488062976.0000,-678312448.0000,0.06897525,172.4603,0.03396524
00.77916670,AA,AP,834186.9375,-1721743.0000,1.11968702,58.3105,0.00601557
00.77916670,AA,PV,-4402600448.0000,-4512241664.0000,0.11887764,3.9146,0.00510243
00.77916670,AA,LM,1087671936.0000,-3833047808.0000,0.02130201,-138.2380,0.00549649
00.77916670,AP,PV,-4403442176.0000,-4510527488.0000,0.12598676,-101.4171,0.03568537
00.77916670,AP,LM,1086867712.0000,-3831322624.0000,0.06197985,171.2793,0.03914866
00.77916670,LM,PV,-5490224640.0000,-679171392.0000,0.06212187,-85.3195,0.03542471
00.78194448,AA,LM,1089204480.0000,-3832873728.0000,0.01439315,-108.1973,0.00332757
00.78194448,AA,PV,-4403254272.0000,-4512924160.0000,0.07954544,6.6300,0.00285030
00.78194448,AA,AP,834015.1250,-1721618.1250,1.11978208,58.2910,0.00526822
00.78194448,AP,LM,1088363136.0000,-3831152896.0000,0.10101605,15.9954,0.07371152
00.78194448,AP,PV,-4404089344.0000,-4511203840.0000,0.05829947,-45.0144,0.05466396
00.78194448,LM,PV,-5492349440.0000,-680017280.0000,0.00401300,80.7512,0.03911166
00.78472218,AA,AP,833833.1875,-1721486.3750,1.11904764,58.3875,0.00639588
00.78472218,AA,LM,1090641152.0000,-3832710144.0000,0.01510007,-112.6223,0.00574358
00.78472218,AA,PV,-4403912704.0000,-4513614336.0000,0.12351624,8.3057,0.00491566
00.78472218,AP,LM,1089790464.0000,-3830990592.0000,0.02656984,-134.9691,0.03950351
00.78472218,AP,PV,-4404730368.0000,-4511876096.0000,0.12189675,-29.7978,0.03452892
00.78472218,LM,PV,-5494581248.0000,-680907456.0000,0.03144939,-168.4556,0.03318239
00.78749996,AA,AP,833658.5000,-1721360.1250,1.11976817,58.3886,0.00575881
00.78749996,AA,PV,-4404577280.0000,-4514313728.0000,0.10917765,3.9236,0.00464379
00.78749996,AA,LM,1092166144.0000,-3832536320.0000,0.00409427,101.0088,0.00520771
00.78749996,AP,LM,1091341056.0000,-3830813952.0000,0.05799783,158.0536,0.04288707
00.78749996,AP,PV,-4405404672.0000,-4512586240.0000,0.10385828,-52.0677,0.03750283
00.78749996,LM,PV,-5496780288.0000,-681786176.0000,0.04719231,-162.2139,0.03536053
00.79027775,AA,AP,833481.5625,-1721232.5000,1.11965335,58.5336,0.00557574
00.79027775,AA,PV,-4405212672.0000,-4514984960.0000,0.11701717,6.4198,0.00415594
00.79027775,AA,LM,1093663104.0000,-3832365312.0000,0.01428145,-119.8362,0.00435126
00.79027775,AP,PV,-4406061568.0000,-4513280512.0000,0.11820261,-38.4476,0.04137784
00.79027775,AP,LM,1092842112.0000,-3830642432.0000,0.06332763,-116.8466,0.04522545
00.79027775,LM,PV,-5498922496.0000,-682643456.0000,0.05042666,-125.6535,0.03380021
00.79305553,AA,PV,-4405891584.0000,-4515704832.0000,0.12679600,8.2655,0.00447037
00.79305553,AA,AP,833294.0000,-1721097.7500,1.11971364,58.4912,0.00515773
00.79305553,AA,LM,1095129472.0000,-3832197376.0000,0.01775431,-115.0067,0.00487285
00.79305553,AP,LM,1094336512.0000,-3830471680.0000,0.05893600,159.8074,0.04143515
00.79305553,AP,PV,-4406711296.0000,-4513969664.0000,0.12576212,-57.2860,0.03640297
00.79305553,LM,PV,-5500976640.0000,-683467008.0000,0.03543838,-65.3693,0.03603516
00.79583332,AA,LM,1096649216.0000,-3832023040.0000,0.01144709,-123.3814,0.00553471
00.79583332,AA,PV,-4406535680.0000,-4516390400.0000,0.13160841,6.6449,0.00462731
00.79583332,AA,AP,833116.3750,-1720970.3750,1.11977986,58.5667,0.00531645
00.79583332,AP,LM,1095800320.0000,-3830304000.0000,0.06017744,-121.2906,0.04114628
00.79583332,AP,PV,-4407356928.0000,-4514656768.0000,0.13619147,-75.2456,0.03539544
00.79583332,LM,PV,-5503083520.0000,-684313152.0000,0.02804339,103.2127,0.03598701
00.79861110,AA,AP,832924.7500,-1720833.2500,1.11988021,58.5786,0.00523426
00.79861110,AA,LM,1098150400.0000,-3831850752.0000,0.01231353,-128.9579,0.00574993
00.79861110,AA,PV,-4407163904.0000,-4517061120.0000,0.14722989,7.9955,0.00505897
