#SRC:M87,DATE(MJD):57853,FREQ:227.0707GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
02.15138894,AA,PV,-4324429824.0000,-4895891968.0000,0.13815325,-129.2884,0.00341595
02.15138894,AA,AZ,1883480960.0000,-4895899136.0000,0.14518396,70.3506,0.00643564
02.15138894,AA,AP,640688.7500,-1635261.5000,1.17000681,-130.7854,0.00339914
02.15138894,AA,LM,1851982464.0000,-3656918784.0000,0.01555588,16.1870,0.00427897
02.15138894,AP,PV,-4325068288.0000,-4894258688.0000,0.15614908,-16.1171,0.02512870
02.15138894,AP,AZ,1882852352.0000,-4894262272.0000,0.07083853,-150.5020,0.04539409
02.15138894,AP,LM,1851345024.0000,-3655282432.0000,0.09535303,103.0641,0.03078930
02.15138894,AZ,LM,-31479736.0000,1238983936.0000,0.05119493,-118.3285,0.05965252
02.15138894,AZ,PV,-6207946240.0000,2820.6746,0.11295999,-92.9316,0.04558544
02.15138894,LM,PV,-6176435712.0000,-1238944000.0000,0.01129570,-116.3648,0.03095414
02.15416664,AA,PV,-4323645440.0000,-4896569344.0000,0.09605277,-129.3702,0.00235920
02.15416664,AA,AZ,1885267712.0000,-4895603200.0000,0.09937427,69.8307,0.00434746
02.15416664,AA,AP,640263.0000,-1635160.1250,1.17008150,-130.6754,0.00331912
02.15416664,AA,LM,1852998016.0000,-3656624640.0000,0.02021884,21.6525,0.00299458
02.15416664,AP,PV,-4324312576.0000,-4894910464.0000,0.08470958,5.0521,0.03546080
02.15416664,AP,AZ,1884676992.0000,-4893960192.0000,0.12714815,-159.4927,0.06544768
02.15416664,AP,LM,1852349440.0000,-3654991872.0000,0.08204866,154.0232,0.04411425
02.15416664,AZ,PV,-6208898048.0000,-924727.3750,0.12843884,-55.4431,0.04553972
02.15416664,AZ,LM,-32257492.0000,1238978944.0000,0.10881702,-12.8108,0.05905956
02.15416664,LM,PV,-6176656384.0000,-1239926784.0000,0.05468530,-48.0314,0.03280750
02.15694451,AA,PV,-4322885120.0000,-4897223680.0000,0.13713695,-129.0372,0.00356920
02.15694451,AA,AP,639836.7500,-1635058.7500,1.17003439,-130.6715,0.00351901
02.15694451,AA,AZ,1887079936.0000,-4895302656.0000,0.14043977,69.3716,0.00643593
02.15694451,AA,LM,1854002560.0000,-3656333056.0000,0.02497943,20.4159,0.00450790
02.15694451,AP,LM,1853378688.0000,-3654693376.0000,0.02110679,91.7140,0.03365071
02.15694451,AP,AZ,1886410752.0000,-4893672960.0000,0.12204909,-165.8437,0.04690939
02.15694451,AP,PV,-4323525120.0000,-4895588352.0000,0.14001820,-6.0451,0.02381184
02.15694451,AZ,LM,-33049722.0000,1238973824.0000,0.14781595,52.0076,0.05763599
02.15694451,AZ,PV,-6209921024.0000,-1925084.8750,0.13594998,-54.3850,0.04367204
02.15694451,LM,PV,-6176866816.0000,-1240878720.0000,0.03909014,-104.3085,0.03189675
02.15972221,AA,AZ,1888838272.0000,-4895010816.0000,0.12387455,72.7072,0.00596342
02.15972221,AA,PV,-4322096128.0000,-4897900544.0000,0.12573294,-130.9369,0.00316852
02.15972221,AA,LM,1854999424.0000,-3656043264.0000,0.01075754,21.7428,0.00403779
02.15972221,AA,AP,639420.3750,-1634959.8750,1.16999016,-130.6069,0.00335882
02.15972221,AP,LM,1854318592.0000,-3654420480.0000,0.07366165,179.3110,0.03558914
02.15972221,AP,AZ,1888171008.0000,-4893380608.0000,0.24631324,-159.3931,0.05029381
02.15972221,AP,PV,-4322736640.0000,-4896264704.0000,0.09905959,0.2921,0.02610482
02.15972221,AZ,LM,-33831144.0000,1238968576.0000,0.05217289,-51.8853,0.06062144
02.15972221,AZ,PV,-6210907648.0000,-2893339.7500,0.11186726,-77.8460,0.04654717
02.15972221,LM,PV,-6177074688.0000,-1241834112.0000,0.05131330,62.3307,0.03296198
02.16250008,AA,LM,1855990144.0000,-3655755008.0000,0.00823824,-24.0648,0.00424727
